lat	lon	title	description	icon	iconSize	iconOffset
53.63167180	10.10750930	Dupe	<a target="_blank" href="http://www.openstreetmap.org/browse/node/304105740">304105740</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=10.1075083&right=10.1075103&top=53.6316728&bottom=53.6316708&select=node304105740">JOSM</a>) DE Hamburg 22175 Carsten-Reimers-Ring 13   is dupe of <a target="_blank" href="http://www.openstreetmap.org/browse/node/304105729">304105729</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=10.1078443&right=10.1078463&top=53.6314749&bottom=53.6314729&select=node304105729">JOSM</a>) <a href="#" onclick="showPosition(53.6315,10.1078)">[show]</a>	pin_red.png	16,16	-8,-8
53.63204390	10.10861050	Dupe	<a target="_blank" href="http://www.openstreetmap.org/browse/node/304105772">304105772</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=10.1086095&right=10.1086115&top=53.6320449&bottom=53.6320429&select=node304105772">JOSM</a>) DE Hamburg 22175 Carsten-Reimers-Ring 17   is dupe of <a target="_blank" href="http://www.openstreetmap.org/browse/node/304105760">304105760</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=10.1089743&right=10.1089763&top=53.6320851&bottom=53.6320831&select=node304105760">JOSM</a>) <a href="#" onclick="showPosition(53.6321,10.109)">[show]</a>	pin_red.png	16,16	-8,-8
53.63173730	10.10773540	Dupe	<a target="_blank" href="http://www.openstreetmap.org/browse/node/304105831">304105831</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=10.1077344&right=10.1077364&top=53.6317383&bottom=53.6317363&select=node304105831">JOSM</a>) DE Hamburg 22175 Carsten-Reimers-Ring 13   is dupe of <a target="_blank" href="http://www.openstreetmap.org/browse/node/304105729">304105729</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=10.1078443&right=10.1078463&top=53.6314749&bottom=53.6314729&select=node304105729">JOSM</a>) <a href="#" onclick="showPosition(53.6315,10.1078)">[show]</a>	pin_red.png	16,16	-8,-8
53.63140850	10.10761920	Dupe	<a target="_blank" href="http://www.openstreetmap.org/browse/node/304105844">304105844</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=10.1076182&right=10.1076202&top=53.6314095&bottom=53.6314075&select=node304105844">JOSM</a>) DE Hamburg 22175 Carsten-Reimers-Ring 13   is dupe of <a target="_blank" href="http://www.openstreetmap.org/browse/node/304105729">304105729</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=10.1078443&right=10.1078463&top=53.6314749&bottom=53.6314729&select=node304105729">JOSM</a>) <a href="#" onclick="showPosition(53.6315,10.1078)">[show]</a>	pin_red.png	16,16	-8,-8
53.63182080	10.10908520	Dupe	<a target="_blank" href="http://www.openstreetmap.org/browse/node/304105855">304105855</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=10.1090842&right=10.1090862&top=53.6318218&bottom=53.6318198&select=node304105855">JOSM</a>) DE Hamburg 22175 Carsten-Reimers-Ring 17   is dupe of <a target="_blank" href="http://www.openstreetmap.org/browse/node/304105760">304105760</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=10.1089743&right=10.1089763&top=53.6320851&bottom=53.6320831&select=node304105760">JOSM</a>) <a href="#" onclick="showPosition(53.6321,10.109)">[show]</a>	pin_red.png	16,16	-8,-8
53.63178060	10.10872030	Dupe	<a target="_blank" href="http://www.openstreetmap.org/browse/node/304105859">304105859</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=10.1087193&right=10.1087213&top=53.6317816&bottom=53.6317796&select=node304105859">JOSM</a>) DE Hamburg 22175 Carsten-Reimers-Ring 17   is dupe of <a target="_blank" href="http://www.openstreetmap.org/browse/node/304105760">304105760</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=10.1089743&right=10.1089763&top=53.6320851&bottom=53.6320831&select=node304105760">JOSM</a>) <a href="#" onclick="showPosition(53.6321,10.109)">[show]</a>	pin_red.png	16,16	-8,-8
53.63197040	10.10762770	Dupe	<a target="_blank" href="http://www.openstreetmap.org/browse/node/304105867">304105867</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=10.1076267&right=10.1076287&top=53.6319714&bottom=53.6319694&select=node304105867">JOSM</a>) DE Hamburg 22175 Stühmtwiete 14   is dupe of <a target="_blank" href="http://www.openstreetmap.org/browse/node/304105817">304105817</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=10.1078377&right=10.1078397&top=53.6320164&bottom=53.6320144&select=node304105817">JOSM</a>) <a href="#" onclick="showPosition(53.632,10.1078)">[show]</a>	pin_red.png	16,16	-8,-8
53.63227450	10.10770960	Dupe	<a target="_blank" href="http://www.openstreetmap.org/browse/node/304105873">304105873</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=10.1077086&right=10.1077106&top=53.6322755&bottom=53.6322735&select=node304105873">JOSM</a>) DE Hamburg 22175 Carsten-Reimers-Ring 14   is dupe of <a target="_blank" href="http://www.openstreetmap.org/browse/node/304105805">304105805</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=10.1074976&right=10.1074996&top=53.6322305&bottom=53.6322285&select=node304105805">JOSM</a>) <a href="#" onclick="showPosition(53.6322,10.1075)">[show]</a>	pin_red.png	16,16	-8,-8
53.55773850	9.92320270	Dupe	<a target="_blank" href="http://www.openstreetmap.org/browse/node/355605429">355605429</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=9.9232017&right=9.9232037&top=53.5577395&bottom=53.5577375&select=node355605429">JOSM</a>) DE Hamburg 22765 Bunsenstraße 1   is dupe of <a target="_blank" href="http://www.openstreetmap.org/browse/node/351651582">351651582</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=9.9246825&right=9.9246845&top=53.5574724&bottom=53.5574704&select=node351651582">JOSM</a>) <a href="#" onclick="showPosition(53.5575,9.92468)">[show]</a>	pin_red.png	16,16	-8,-8
53.55836030	9.92301580	Dupe	<a target="_blank" href="http://www.openstreetmap.org/browse/node/355605433">355605433</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=9.9230148&right=9.9230168&top=53.5583613&bottom=53.5583593&select=node355605433">JOSM</a>) DE Hamburg 22765 Bunsenstraße 11   is dupe of <a target="_blank" href="http://www.openstreetmap.org/browse/node/355604620">355604620</a> (<a target="josmframe" href="http://localhost:8111/load_and_zoom?left=9.9235579&right=9.9235599&top=53.5574063&bottom=53.5574043&select=node355604620">JOSM</a>) <a href="#" onclick="showPosition(53.5574,9.92356)">[show]</a>	pin_red.png	16,16	-8,-8
